"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6559","should be able to create a task correctly","chromium","Thu Mar 12 23:31:34 UTC 2026","passed","Thu Mar 12 23:31:40 UTC 2026","Task Management","ui/today.spec.ts","",""
"","6190","TC04 - Delete task successfully","chromium","Thu Mar 12 23:31:40 UTC 2026","passed","Thu Mar 12 23:31:47 UTC 2026","Task Management","ui/today.spec.ts","",""
"","2035","should display the correct error message for invalid credentials","chromium","Thu Mar 12 23:31:25 UTC 2026","passed","Thu Mar 12 23:31:27 UTC 2026","Login tests","ui/login.spec.ts","",""
"","5358","Should dismiss add task modal","chromium","Thu Mar 12 23:31:47 UTC 2026","passed","Thu Mar 12 23:31:52 UTC 2026","Page Functionality","ui/today.spec.ts","",""
"","6556","TC03 - Create task successfully from sidebar","chromium","Thu Mar 12 23:31:27 UTC 2026","passed","Thu Mar 12 23:31:34 UTC 2026","Sidebar tests","ui/sidebar.spec.ts","",""
"","1009","should be able to create a task via API correctly for today","chromium","Thu Mar 12 23:31:13 UTC 2026","passed","Thu Mar 12 23:31:14 UTC 2026","API - Create Task","api/create.spec.ts","",""
"","9260","should be able to login correctly","chromium","Thu Mar 12 23:31:16 UTC 2026","passed","Thu Mar 12 23:31:25 UTC 2026","Login tests","ui/login.spec.ts","",""
