"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6487","should be able to login correctly","chromium","Tue Mar 17 19:12:00 UTC 2026","passed","Tue Mar 17 19:12:06 UTC 2026","Login tests","ui/login.spec.ts","",""
"","6887","should be able to add a comment to a task","chromium","Tue Mar 17 19:12:08 UTC 2026","passed","Tue Mar 17 19:12:15 UTC 2026","Task details modal management","ui/tasks.spec.ts","",""
"","1476","should be able to create a task via API correctly for today","chromium","Tue Mar 17 19:11:57 UTC 2026","passed","Tue Mar 17 19:11:58 UTC 2026","API - Create Task","api/create.spec.ts","",""
"","5994","should be able to create a task correctly","chromium","Tue Mar 17 19:12:22 UTC 2026","passed","Tue Mar 17 19:12:28 UTC 2026","Task Management","ui/today.spec.ts","",""
"","1537","should display the correct error message for invalid credentials","chromium","Tue Mar 17 19:12:06 UTC 2026","passed","Tue Mar 17 19:12:08 UTC 2026","Login tests","ui/login.spec.ts","",""
"","6032","TC05 - Edit task successfully","chromium","Tue Mar 17 19:12:34 UTC 2026","passed","Tue Mar 17 19:12:40 UTC 2026","Task Management","ui/today.spec.ts","",""
"","0","TC03 - Create task successfully from sidebar","chromium","Tue Mar 17 19:12:08 UTC 2026","skipped","Tue Mar 17 19:12:08 UTC 2026","Sidebar tests","ui/sidebar.spec.ts","",""
"","5010","Should dismiss add task modal","chromium","Tue Mar 17 19:12:40 UTC 2026","passed","Tue Mar 17 19:12:45 UTC 2026","Page Functionality","ui/today.spec.ts","",""
"","6376","TC04 - Delete task successfully","chromium","Tue Mar 17 19:12:28 UTC 2026","passed","Tue Mar 17 19:12:34 UTC 2026","Task Management","ui/today.spec.ts","",""
"","6848","should be able to delete a comment from a task","chromium","Tue Mar 17 19:12:15 UTC 2026","passed","Tue Mar 17 19:12:22 UTC 2026","Task details modal management","ui/tasks.spec.ts","",""
