"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6790","should be able to create a task correctly","chromium","Thu Mar 12 00:35:40 UTC 2026","passed","Thu Mar 12 00:35:47 UTC 2026","Task Management","ui/today.spec.ts","",""
"","1330","should be able to create a task via API correctly for today","chromium","Thu Mar 12 00:35:24 UTC 2026","passed","Thu Mar 12 00:35:25 UTC 2026","API - Create Task","api/create.spec.ts","",""
"","2129","should display the correct error message for invalid credentials","chromium","Thu Mar 12 00:35:31 UTC 2026","passed","Thu Mar 12 00:35:33 UTC 2026","Login tests","ui/login.spec.ts","",""
"","5827","should be able to login correctly","chromium","Thu Mar 12 00:35:25 UTC 2026","passed","Thu Mar 12 00:35:31 UTC 2026","Login tests","ui/login.spec.ts","",""
"","6756","TC03 - Create task successfully from sidebar","chromium","Thu Mar 12 00:35:33 UTC 2026","passed","Thu Mar 12 00:35:40 UTC 2026","Sidebar tests","ui/sidebar.spec.ts","",""
"","6660","TC04 - Delete task successfully","chromium","Thu Mar 12 00:35:47 UTC 2026","passed","Thu Mar 12 00:35:53 UTC 2026","Task Management","ui/today.spec.ts","",""
