"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1463","should be able to create a task via API correctly for today","chromium","Wed Mar 18 18:07:10 UTC 2026","passed","Wed Mar 18 18:07:11 UTC 2026","API - Create Task","api/create.spec.ts","",""
"","0","TC03 - Create task successfully from sidebar","chromium","Wed Mar 18 18:07:20 UTC 2026","skipped","Wed Mar 18 18:07:20 UTC 2026","Sidebar tests","ui/sidebar.spec.ts","",""
"","6838","should be able to delete a comment from a task","chromium","Wed Mar 18 18:07:27 UTC 2026","passed","Wed Mar 18 18:07:34 UTC 2026","Task details modal management","ui/tasks.spec.ts","",""
"","6945","should be able to add a comment to a task","chromium","Wed Mar 18 18:07:20 UTC 2026","passed","Wed Mar 18 18:07:27 UTC 2026","Task details modal management","ui/tasks.spec.ts","",""
"","6072","TC05 - Edit task successfully","chromium","Wed Mar 18 18:07:47 UTC 2026","passed","Wed Mar 18 18:07:53 UTC 2026","Task Management","ui/today.spec.ts","",""
"","4927","Should dismiss add task modal","chromium","Wed Mar 18 18:07:53 UTC 2026","passed","Wed Mar 18 18:07:58 UTC 2026","Page Functionality","ui/today.spec.ts","",""
"","1709","should display the correct error message for invalid credentials","chromium","Wed Mar 18 18:07:18 UTC 2026","passed","Wed Mar 18 18:07:20 UTC 2026","Login tests","ui/login.spec.ts","",""
"","5249","should be able to login correctly","chromium","Wed Mar 18 18:07:13 UTC 2026","passed","Wed Mar 18 18:07:18 UTC 2026","Login tests","ui/login.spec.ts","",""
"","6720","should be able to create a task correctly","chromium","Wed Mar 18 18:07:34 UTC 2026","passed","Wed Mar 18 18:07:40 UTC 2026","Task Management","ui/today.spec.ts","",""
"","6266","TC04 - Delete task successfully","chromium","Wed Mar 18 18:07:40 UTC 2026","passed","Wed Mar 18 18:07:47 UTC 2026","Task Management","ui/today.spec.ts","",""
